StoreID,StreetAddress,address1,address2,city,stateAddress,postalCode,type,chainCode,latitude,longitude
8307,500 Nj-38,500 Nj-38,,Cherry Hill,NJ,08034,1,TRU,39.9377434,-75.0462602
8306,409 Almonesson Road,409 Almonesson Road,,Deptford,NJ,08096,1,TRU,39.8309871,-75.1026216
8305,3401 Aramingo Avenue,3401 Aramingo Avenue,,Philadelphia,PA,19134,1,TRU,39.9912159,-75.100288
8304,5521 Leesburg Pike,5521 Leesburg Pike,,Baileys Crossroads,VA,22041,1,TRU,38.8472068,-77.1243918
8303,250 Mall Blvd,250 Mall Blvd,,King Of Prussia,PA,19406,1,TRU,40.0922378,-75.3900202
8302,2 Airport Square,2 Airport Square,,North Wales,PA,19454,1,TRU,40.2395085,-75.2404249
5657,4635 Chino Hills Pkwy,4635 Chino Hills Pkwy,,Chino Hills,CA,91709,1,TRU,33.9804232,-117.7033066
5654,1445 Montebello Blvd.,1445 Montebello Blvd.,,Montebello,CA,90640,1,TRU,34.0343241,-118.0942927
8309,2703-2817 South Third S,2703-2817 South Third S,,Philadelphia,PA,19148,1,TRU,39.9131295,-75.1528837
8308,2045 Cottman Ave,2045 Cottman Ave,,Philadelphia,PA,19149,1,TRU,40.0509885,-75.0648181
5821,202 Walnut Street,202 Walnut Street,,Redwood City,CA,94063,1,TRU,37.493111,-122.226136
5820,370 Northridge Circle Northridge Mall,370 Northridge Circle,Northridge Mall,Salinas,CA,93906,1,TRU,36.7169,-121.658187
8864,6380 North Point Pkwy,6380 North Point Pkwy,,Alpharetta,GA,30022,1,BRU,34.0443899,-84.2914536
8865,7350 W. Commercial Blvd,7350 W. Commercial Blvd,,Lauderhill,FL,33319,1,BRU,26.1926423,-80.2491694
5825,4505 Century Blvd.,4505 Century Blvd.,,Pittsburg,CA,94565,1,TRU,38.0074672,-121.8375431
5824,1919 East 20th St.,1919 East 20th St.,,Chico,CA,95928,1,TRU,39.725759,-121.8054834
8860,5731 Nolensville Pike,5731 Nolensville Pike,,Nashville,TN,37211,1,BRU,36.0481352,-86.7150511
8861,11930 Pines Blvd,11930 Pines Blvd,,Pembroke Pines,FL,33026,1,BRU,26.0060306,-80.3092838
9285,5660 Touhy Ave,5660 Touhy Ave,,Niles,IL,60714,1,BRU,42.0148278,-87.7698566
9284,26520 Lorain Road,26520 Lorain Road,,North Olmsted,OH,44070,1,BRU,41.4204767,-81.9162855
9287,1705 West Newman Rd,1705 West Newman Rd,,Okemos,MI,48864,1,TRU,42.7223377,-84.4110349
9281,2335 Market Place Drive,2335 Market Place Drive,,Rochester,NY,14623,1,BRU,43.0786173,-77.6326271
9280,4936 Baldwin Road,4936 Baldwin Road,,Orion,MI,48359,1,BRU,42.707229,-83.3110622
8868,2139 North Highland,2139 North Highland,,Jackson,TN,38305,1,TRU,35.6614037,-88.8300199
9282,1569 Niagara Falls Blvd,1569 Niagara Falls Blvd,,Buffalo,NY,14228,1,BRU,42.998153,-78.8197982
7517,Nys I-480 & Rt. 31 Gr Northern Mall,Nys I-480 & Rt. 31,Gr Northern Mall,Clay,NY,13041,1,TRU,43.1872358,-76.2241231
7515,5 Dayton Road,5 Dayton Road,,Waterford,CT,06385,1,TRU,41.3723639,-72.1341605
7514,85 Gosling Road,85 Gosling Road,,Newington,NH,03801,1,TRU,43.0941501,-70.7957126
7513,303 Maine Mall Road,303 Maine Mall Road,,South Portland,ME,04106,1,TRU,43.6367663,-70.33787
7512,86 Swansea Mall Dr.,86 Swansea Mall Dr.,,Swansea,MA,02777,1,TRU,41.7513812,-71.2156509
7511,2 Keller Street,2 Keller Street,,Manchester,NH,03103,1,TRU,42.9537103,-71.4429352
7510,1471 New Britain Ave,1471 New Britain Ave,,West Hartford,CT,06110,1,TRU,41.7239536,-72.7571704
8905,9959 Colerain Ave,9959 Colerain Ave,,Cincinnati,OH,45251,1,TRU,39.2535604,-84.6007288
7006,5910 Eastex Freeway,5910 Eastex Freeway,,Beaumont,TX,77708,1,TRU,30.1284952,-94.157107
8903,7960 Connector Drive,7960 Connector Drive,,Florence,KY,41042,1,TRU,38.9921086,-84.6542854
8902,8250 Castleton Corner,8250 Castleton Corner,,Indianapolis,IN,46250,1,TRU,39.906516,-86.0706809
5841,1425 Shaw Ave,1425 Shaw Ave,,Clovis,CA,93611,1,TRU,36.8098714,-119.6900566
6063,486 Randall Rd,486 Randall Rd,,South Elgin,IL,60177,1,TRU,41.978083,-88.3437148
7044,137 Northshore Blvd.,137 Northshore Blvd.,,Slidell,LA,70460,1,TRU,30.3047937,-89.8272332
7047,9333 Research Blvd Blg A. Suite 200,9333 Research Blvd,Blg A. Suite 200,Austin,TX,78759,1,TRU,30.3840236,-97.7399324
7046,16618 Sw Freeway,16618 Sw Freeway,,Sugar Land,TX,77478,1,TRU,29.5934603,-95.6330167
7040,4600 Hardy Street,4600 Hardy Street,,Hattiesburg,MS,39402,1,TRU,31.3222292,-89.3586595
7043,3405 Gerstner Memorial,3405 Gerstner Memorial,,Lake Charles,LA,70607,1,TRU,30.1960538,-93.1791641
6304,445 Us Highway 46,445 Us Highway 46,,Totowa,NJ,07512,1,TRU,40.8946747,-74.2337337
6307,1701-45 Us Highway 22,1701-45 Us Highway 22,,Watchung,NJ,07069,1,TRU,40.6512504,-74.4086326
6794,100 Citadel Dr. Ste 313 The Citadel,100 Citadel Dr. Ste 313,The Citadel,City Of Commerce,CA,90040,1,TRU,34.006156,-118.1516239
6306,250 East Route 4,250 East Route 4,,Paramus,NJ,07652,1,TRU,40.9143512,-74.0515619
6041,200 E. Kimberly Road,200 E. Kimberly Road,,Davenport,IA,52806,1,TRU,41.5611385,-90.5695401
6068,3250 South Linden,3250 South Linden,,Flint,MI,48507,1,TRU,42.9807533,-83.7733568
6651,152 The Arches Circle Tanger Outlets,152 The Arches Circle,Tanger Outlets,Deer Park,NY,11729,1,TRU,40.7629048,-73.3051374
6650,801 Tanger Mall Drive Tanger Outlets Riverhea,801 Tanger Mall Drive,Tanger Outlets Riverhea,Riverhead,NY,11901,1,TRU,40.9195219,-72.7170047
5857,5461 Lone Tree Way,5461 Lone Tree Way,,Brentwood,CA,94513,1,BRU,37.9613132,-121.7496294
5858,1930 N. Davis Rd.,1930 N. Davis Rd.,,Salinas,CA,93907,1,BRU,36.7191652,-121.6677482
6385,300 Quaker Lane,300 Quaker Lane,,Warwick,RI,02886,1,BRU,41.6895823,-71.4988722
6384,300 Andover Street,300 Andover Street,,Peabody,MA,01960,1,BRU,42.5494168,-70.9544974
6387,600 Lehigh Valley Mall,600 Lehigh Valley Mall,,Whitehall,PA,18052,1,BRU,40.6339417,-75.476982
6386,545 Highway 17 South,545 Highway 17 South,,Paramus,NJ,07652,1,BRU,40.9577093,-74.0757081
6380,5700 Leesburg Pike,5700 Leesburg Pike,,Falls Church,VA,22041,1,BRU,38.8500714,-77.1263004
6383,450 Grossman Drive,450 Grossman Drive,,Braintree,MA,02184,1,BRU,42.2156064,-70.9993708
6382,1280 Us Highway 22 St. James,1280 Us Highway 22,St. James,Phillipsburg,NJ,08865,1,TRU,40.678024,-75.145332
